=== Summary (Jan 1995 - Jun 2026, total return, AUD) ===
+-------+---------------+---------+---------------+---------------------+------------------+
| Fund  |  Total return |    CAGR |        Max DD |     Drawdown period |  Max DD recovery |
+-------+---------------+---------+---------------+---------------------+------------------+
| DHHF  |      1558.2%  |   9.32% |       -40.9%  | May 2007 - Feb 2009 |    2,345d (6.4y) |
| VDHG  |      1284.7%  |   8.70% |       -41.1%  | Oct 2007 - Feb 2009 |    2,161d (5.9y) |
| BGBL  |      1912.6%  |  10.00% |       -47.4%  | Oct 2000 - Feb 2003 |   4,778d (13.1y) |
| GHHF  |      2520.3%  |  10.92% |       -59.7%  | May 2007 - Feb 2009 |    2,771d (7.6y) |
| GGBL  |      3135.5%  |  11.67% |       -73.3%  | Oct 2000 - Aug 2011 |   5,905d (16.2y) |
+-------+---------------+---------+---------------+---------------------+------------------+
  (Drawdown period = pre-crash peak to trough; Max DD recovery = calendar days peak to full recovery)


=== Summary (Jan 2012 - Jun 2026, total return, AUD) ===
+-------+---------------+---------+---------------+---------------------+------------------+
| Fund  |  Total return |    CAGR |        Max DD |     Drawdown period |  Max DD recovery |
+-------+---------------+---------+---------------+---------------------+------------------+
| DHHF  |       502.9%  |  13.19% |       -18.1%  | Jan 2020 - Mar 2020 |      304d (0.8y) |
| VDHG  |       371.7%  |  11.29% |       -17.8%  | Jan 2020 - Mar 2020 |      304d (0.8y) |
| BGBL  |       756.4%  |  15.96% |       -16.7%  | Dec 2021 - Jun 2022 |      546d (1.5y) |
| GHHF  |      1029.7%  |  18.20% |       -27.3%  | Jan 2020 - Mar 2020 |      394d (1.1y) |
| GGBL  |      1771.2%  |  22.39% |       -25.2%  | Dec 2021 - Sep 2022 |      577d (1.6y) |
+-------+---------------+---------+---------------+---------------------+------------------+
  (Drawdown period = pre-crash peak to trough; Max DD recovery = calendar days peak to full recovery)


=== Annual return & calendar-year max drawdown (%) - all assets ===
+------+------------------+------------------+------------------+------------------+------------------+
| Year |       DHHF       |       VDHG       |       BGBL       |       GHHF       |       GGBL       |
|      |      Ret       DD|      Ret       DD|      Ret       DD|      Ret       DD|      Ret       DD|
+------+------------------+------------------+------------------+------------------+------------------+
| 1995 |    26.67    -2.52|    24.36    -2.01|    34.22    -2.20|    36.73    -4.25|    49.11    -3.78|
| 1996 |    11.19    -3.33|    11.68    -3.22|     9.50    -3.30|    12.40    -6.75|     9.59    -6.46|
| 1997 |    30.97    -5.97|    23.45    -5.99|    47.17    -5.37|    44.62    -9.46|    72.39    -8.86|
| 1998 |    19.89    -9.90|    17.18    -9.43|    28.74    -9.87|    26.65   -15.51|    40.55   -15.47|
| 1999 |    18.79    -3.27|    17.80    -3.43|    17.12    -3.62|    25.59    -5.30|    22.61    -5.86|
| 2000 |     3.15    -8.23|     1.27    -5.97|     4.19   -12.38|     0.39   -13.15|     1.23   -19.41|
| 2001 |     0.02   -13.37|     0.07   -12.58|    -6.99   -16.39|    -3.79   -21.94|   -14.22   -26.31|
| 2002 |   -19.71   -22.43|   -15.28   -18.42|   -26.67   -29.31|   -31.48   -34.39|   -40.82   -43.43|
| 2003 |     6.40    -9.72|    11.76    -7.32|    -0.17   -11.91|     5.92   -15.24|    -4.33   -18.51|
| 2004 |    17.09    -2.72|    16.93    -1.98|    10.52    -6.30|    22.85    -4.48|    12.07   -10.76|
| 2005 |    18.52    -3.75|    15.74    -3.55|    15.05    -4.31|    24.83    -6.36|    19.05    -7.82|
| 2006 |    15.95    -5.31|    16.47    -3.61|    10.43    -7.37|    20.52    -9.30|    11.55   -12.41|
| 2007 |     5.40    -4.93|     8.00    -3.66|    -3.77    -8.04|     3.74    -8.18|   -10.28   -14.73|
| 2008 |   -31.79   -31.79|   -31.86   -31.86|   -22.48   -22.48|   -47.95   -47.95|   -36.51   -36.51|
| 2009 |    12.74   -11.07|    17.73   -11.27|     0.01   -11.98|    16.28   -17.23|    -3.61   -18.73|
| 2010 |     0.40    -7.72|     2.82    -8.09|     1.52    -6.76|    -2.83   -12.44|    -1.22   -11.59|
| 2011 |    -9.29   -15.17|    -7.92   -14.02|    -4.48   -13.34|   -16.99   -24.05|   -10.24   -21.36|
| 2012 |    15.29    -4.56|    14.30    -4.59|    15.34    -5.00|    20.98    -7.60|    20.79    -8.49|
| 2013 |    36.72    -0.12|    28.00    -0.42|    51.15    -1.93|    57.79    -0.37|    83.04    -3.32|
| 2014 |    12.07    -2.26|     9.31    -2.26|    16.51    -3.47|    16.58    -3.65|    23.37    -5.52|
| 2015 |     7.56    -7.47|     4.58    -7.54|    12.28    -5.46|     9.18   -11.66|    16.44    -8.64|
| 2016 |    10.89    -5.66|     9.87    -5.28|    10.23    -5.09|    14.81    -8.93|    13.52    -8.25|
| 2017 |    13.11    -2.44|    13.35    -0.90|    13.39    -4.10|    18.80    -3.99|    18.90    -6.55|
| 2018 |    -0.31   -10.66|    -2.11    -9.76|     1.90   -11.85|    -2.44   -16.58|     0.62   -18.38|
| 2019 |    25.86    -2.44|    23.80    -2.03|    28.22    -4.61|    39.98    -3.87|    43.58    -7.22|
| 2020 |     5.26   -18.06|     7.01   -17.82|     7.21   -13.94|     5.72   -27.29|     9.17   -21.23|
| 2021 |    22.79    -2.81|    18.51    -2.76|    28.62    -3.13|    35.95    -4.37|    45.58    -4.88|
| 2022 |    -8.66   -13.89|    -9.63   -15.20|   -12.85   -16.72|   -15.05   -21.43|   -21.21   -25.20|
| 2023 |    18.21    -5.64|    16.52    -6.23|    23.23    -5.28|    25.44    -9.07|    33.50    -8.56|
| 2024 |    22.49    -3.07|    17.59    -3.08|    28.87    -3.61|    32.27    -4.96|    42.49    -5.82|
| 2025 |    12.25    -5.25|    12.90    -4.64|    13.37    -6.39|    16.02    -8.59|    17.52   -10.46|
| 2026 |     5.07    -4.27|     5.40    -4.78|     6.27    -4.69|     6.20    -6.81|     7.94    -7.85|
+------+------------------+------------------+------------------+------------------+------------------+
|TOTAL |  1558.23   -40.91|  1284.74   -41.14|  1912.62   -47.36|  2520.27   -59.70|  3135.49   -73.27|
| CAGR |     9.32         |     8.70         |    10.00         |    10.92         |    11.67         |
+------+------------------+------------------+------------------+------------------+------------------+
  (TOTAL = cumulative return | full-period max drawdown; CAGR = annualised return)


=== DHHF - monthly total return (%), annual compounded ===
+------+-------------------------------------------------------------------------------------+---------+
| Year |    Jan    Feb    Mar    Apr    May    Jun    Jul    Aug    Sep    Oct    Nov    Dec |  Annual |
+------+-------------------------------------------------------------------------------------+---------+
| 1995 |  -0.92   5.31   2.11   5.41   2.56   2.12   2.08  -0.84   1.79  -2.52   5.13   1.98 |   26.67 |
| 1996 |   3.53  -0.90  -1.49   2.89  -0.68   0.47  -3.12   1.67   3.20   1.19   2.62   1.52 |   11.19 |
| 1997 |   5.00  -0.22  -2.93   3.24   7.65   5.35   4.67  -4.79   7.02  -5.97   3.15   6.34 |   30.97 |
| 1998 |  -2.29   6.23   5.31   1.74  -0.05   0.87   1.39  -9.90   2.23   3.20   5.31   5.36 |   19.89 |
| 1999 |   0.55  -0.91   2.92   2.57  -3.27   3.45   0.45   0.33  -3.04   5.18   4.70   4.88 |   18.79 |
| 2000 |  -1.96   4.73   4.03  -1.61  -1.14   2.57  -0.22   4.15   0.74   0.75  -5.88  -2.49 |    3.15 |
| 2001 |   4.89  -3.16  -1.89   4.41   0.78  -0.62  -2.69  -5.70  -4.98   3.24   3.07   3.43 |    0.02 |
| 2002 |  -0.10  -2.11   1.14  -3.00  -3.08  -5.38  -4.89   0.26  -7.54   3.92   3.45  -3.72 |  -19.71 |
| 2003 |  -4.63  -5.35   1.35   4.83   1.53  -0.23   5.70   2.82  -2.96   2.74  -1.25   2.35 |    6.40 |
| 2004 |   0.31   1.56   1.08   1.76   1.91   3.94  -2.72   0.41   1.21   0.64   3.07   2.87 |   17.09 |
| 2005 |  -0.47   1.15  -0.19  -3.56   5.07   2.02   3.97   1.59   2.03  -1.58   4.70   2.74 |   18.52 |
| 2006 |   2.56   1.12   5.50  -1.03  -3.46   1.39  -2.26   2.82   2.84   1.78   1.45   2.51 |   15.95 |
| 2007 |   3.00  -1.43   0.58   1.96   3.92  -2.14  -2.85   4.34  -0.23   0.48  -0.91  -1.13 |    5.40 |
| 2008 |  -9.71  -4.06  -0.01   3.00   0.82  -9.85  -1.82   7.23  -5.63  -6.44  -6.69  -3.02 |  -31.79 |
| 2009 |  -2.34  -8.94   4.02   5.67   0.30  -0.21   5.87   3.79   2.22  -3.76   3.06   3.46 |   12.74 |
| 2010 |  -4.10   1.50   4.71  -1.34  -2.61  -3.95   2.41  -1.87   2.31   1.92   0.09   1.79 |    0.40 |
| 2011 |   2.10   1.58  -0.84  -1.18  -0.06  -3.03  -4.36  -3.57  -3.15   4.75   0.14  -1.72 |   -9.29 |
| 2012 |   3.34   2.52   4.16  -0.57  -3.50  -0.52   0.22   3.52   2.29   0.59   0.60   1.92 |   15.29 |
| 2013 |   4.53   3.31  -0.12   3.42   3.74   0.77   6.60   0.03   0.43   3.11   3.12   2.95 |   36.72 |
| 2014 |  -2.26   3.49  -1.98   0.90   1.59  -0.04   1.15   1.88   0.33   2.42   1.79   2.35 |   12.07 |
| 2015 |   3.67   5.65   0.71  -1.33   2.24  -3.68   5.30  -5.15  -2.45   5.17  -1.27  -0.82 |    7.56 |
| 2016 |  -3.83  -1.90   1.80   2.49   4.82  -2.65   3.58   0.37  -0.68  -1.61   4.27   4.23 |   10.89 |
| 2017 |  -1.64   1.81   2.22   2.68   0.39  -1.47  -0.98   0.93   2.10   4.27   2.79  -0.51 |   13.11 |
| 2018 |   1.24  -0.51  -1.46   2.97   0.82   2.37   2.10   3.61  -0.83  -5.84  -1.63  -2.74 |   -0.31 |
| 2019 |   4.38   5.66   0.99   3.72  -2.44   4.77   2.31  -0.79   1.92   0.03   4.19  -1.13 |   25.86 |
| 2020 |   4.09  -5.84 -12.97   5.40   3.99   0.15   1.10   2.71  -1.27   0.44   8.49   0.62 |    5.26 |
| 2021 |   0.14   1.85   3.57   3.05   1.89   3.53   2.09   2.83  -2.81   0.87   2.00   1.88 |   22.79 |
| 2022 |  -3.77  -2.77   1.74  -2.19  -1.52  -6.10   5.96  -1.01  -4.44   6.72   4.25  -4.88 |   -8.66 |
| 2023 |   4.59   0.00   1.97   2.34  -0.15   2.47   2.73   0.42  -3.63  -2.09   4.55   3.99 |   18.21 |
| 2024 |   2.50   4.20   2.97  -3.07   1.68   1.06   4.30  -0.66   1.22   1.79   4.41   0.32 |   22.49 |
| 2025 |   3.11  -1.35  -3.96   0.08   4.80   2.07   2.97   1.84   1.20   2.09  -0.86  -0.09 |   12.25 |
| 2026 |  -0.42   1.29  -4.27   3.65   3.24   1.69                                           |    5.07 |
+------+-------------------------------------------------------------------------------------+---------+
|  TOT |                                                                                     | 1558.23 |
| CAGR |                                                                                     |    9.32 |
+------+-------------------------------------------------------------------------------------+---------+


=== VDHG - monthly total return (%), annual compounded ===
+------+-------------------------------------------------------------------------------------+---------+
| Year |    Jan    Feb    Mar    Apr    May    Jun    Jul    Aug    Sep    Oct    Nov    Dec |  Annual |
+------+-------------------------------------------------------------------------------------+---------+
| 1995 |  -1.27   4.53   1.70   5.02   2.29   1.66   2.65  -0.27   1.71  -2.01   4.28   1.96 |   24.36 |
| 1996 |   3.29  -0.50  -1.12   2.71  -0.46   0.23  -2.99   1.99   2.93   1.41   2.91   0.91 |   11.68 |
| 1997 |   3.53   0.19  -2.46   2.94   6.46   4.71   4.01  -4.64   6.23  -5.99   2.19   5.04 |   23.45 |
| 1998 |  -0.89   5.17   4.18   1.33  -0.66   0.58   0.93  -9.43   2.88   3.68   4.88   4.21 |   17.18 |
| 1999 |   1.15  -1.19   3.06   3.18  -3.43   3.21   0.25  -0.20  -2.19   4.02   4.27   4.77 |   17.80 |
| 2000 |  -2.20   3.59   3.28  -2.07  -1.39   3.53  -0.67   3.65  -0.30  -0.08  -4.51  -1.15 |    1.27 |
| 2001 |   4.30  -3.24  -2.95   4.72   0.72  -0.19  -2.35  -4.20  -5.47   3.58   3.18   2.70 |    0.07 |
| 2002 |  -0.08  -1.46   1.36  -2.33  -1.65  -4.85  -4.80   0.61  -6.64   3.75   3.11  -2.92 |  -15.28 |
| 2003 |  -3.35  -4.11   1.19   5.02   2.16   0.33   4.08   2.66  -1.53   3.08  -0.81   2.92 |   11.76 |
| 2004 |   0.54   1.77   0.88   0.33   1.50   3.08  -1.98   0.65   1.61   1.30   3.32   2.86 |   16.93 |
| 2005 |  -0.34   1.36  -0.71  -2.86   4.03   2.04   3.35   1.42   2.13  -1.96   4.04   2.48 |   15.74 |
| 2006 |   2.88   0.69   4.19   0.18  -3.32   1.06  -1.34   2.62   2.15   2.45   1.78   2.25 |   16.47 |
